seed,method,split,instance,delta_kind,num_ops,size_bucket,objective,initial_objective,best_known,final_gap,primal_integral,rounds,improving_rounds,repair_improvement
1,fixed_late_jobs_40,i6_r4_s0.5,4,arrival,210,medium,689,692.0,675,0.02074074074074074,0.032264751847402254,170,1,3
1,fixed_outage_window_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.01515847724483762,106,0,0
1,fixed_outage_window_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08249093759629535,114,0,0
1,fixed_outage_window_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.016979190462086426,136,1,2
1,fixed_outage_window_40,i6_r4_s0.5,3,cancellation,195,medium,674,674.0,667,0.010494752623688156,0.01967323135962551,153,0,0
1,fixed_outage_window_40,i6_r4_s0.5,4,arrival,210,medium,687,688.0,675,0.017777777777777778,0.03876492893792845,145,1,1
1,fixed_random_40,i6_r4_s1,0,base,225,medium,713,713.0,713,0.0,0.015145116566427618,109,0,0
1,fixed_random_40,i6_r4_s1,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08209366240659105,109,0,0
1,fixed_random_40,i6_r4_s1,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.016979428525677236,130,1,2
1,fixed_random_40,i6_r4_s1,3,cancellation,195,medium,667,667.0,667,0.0,0.007803172773976197,154,0,0
1,fixed_random_40,i6_r4_s1,4,arrival,210,medium,680,680.0,675,0.007407407407407408,0.02880362033378329,128,0,0
1,fixed_delta_40,i6_r4_s1,0,base,225,medium,713,713.0,713,0.0,0.015078805689140728,109,0,0
1,fixed_delta_40,i6_r4_s1,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08169617022426903,113,0,0
1,fixed_delta_40,i6_r4_s1,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.016945190801370247,126,1,2
1,fixed_delta_40,i6_r4_s1,3,cancellation,195,medium,672,672.0,667,0.0074962518740629685,0.01362473153137177,152,0,0
