instance,delta_kind,num_ops,round_index,arm,objective_before,objective_after,improved,elapsed,round_time,reward
3,cancellation,225,50,random_40,700,700,False,9.550695900892606,0.028949914005352184,0.0
3,cancellation,225,51,delta_40,700,700,False,9.579429668869125,0.02873376797651872,0.0
3,cancellation,225,52,random_40,700,700,False,9.607683489884948,0.028253821015823632,0.0
3,cancellation,225,53,random_40,700,700,False,9.63744053588016,0.02975704599521123,0.0
3,cancellation,225,54,random_40,700,700,False,9.666522891900968,0.02908235602080822,0.0
3,cancellation,225,55,random_40,700,700,False,9.695936587901087,0.02941369600011967,0.0
3,cancellation,225,56,delta_40,700,700,False,9.724491245899117,0.028554657998029143,0.0
3,cancellation,225,57,random_40,700,700,False,9.75119524190086,0.02670399600174278,0.0
3,cancellation,225,58,delta_40,700,700,False,9.780266326881247,0.02907108498038724,0.0
3,cancellation,225,59,delta_40,700,700,False,9.808318167895777,0.02805184101453051,0.0
3,cancellation,225,60,delta_40,700,700,False,9.839184961892897,0.030866793997120112,0.0
3,cancellation,225,61,critical_40,700,700,False,9.869124995893799,0.029940034000901505,0.0
3,cancellation,225,62,delta_40,700,700,False,9.898055071913404,0.02893007601960562,0.0
3,cancellation,225,63,delta_40,700,700,False,9.927389621909242,0.029334549995837733,0.0
3,cancellation,225,64,random_40,700,700,False,9.957612633908866,0.03022301199962385,0.0
4,duration_jitter,225,0,random_40,731,731,False,8.03339686698746,0.029679605999263003,0.0
4,duration_jitter,225,1,delta_40,731,731,False,8.06349163397681,0.03009476698935032,0.0
4,duration_jitter,225,2,random_40,731,731,False,8.092828740976984,0.029337107000174,0.0
4,duration_jitter,225,3,delta_40,731,731,False,8.122676131984917,0.029847391007933766,0.0
4,duration_jitter,225,4,critical_40,731,731,False,8.153384982986609,0.030708851001691073,0.0
4,duration_jitter,225,5,delta_40,731,731,False,8.181905969977379,0.028520986990770325,0.0
4,duration_jitter,225,6,critical_40,731,731,False,8.212706290971255,0.030800320993876085,0.0
4,duration_jitter,225,7,delta_40,731,731,False,8.242265954962932,0.029559663991676643,0.0
4,duration_jitter,225,8,delta_40,731,731,False,8.271900936961174,0.029634981998242438,0.0
4,duration_jitter,225,9,random_40,731,731,False,8.301427498983685,0.029526562022510916,0.0
4,duration_jitter,225,10,random_40,731,731,False,8.332280200964306,0.030852701980620623,0.0
4,duration_jitter,225,11,critical_40,731,731,False,8.361633510969114,0.02935331000480801,0.0
4,duration_jitter,225,12,random_40,731,731,False,8.390897396981018,0.029263886011904106,0.0
4,duration_jitter,225,13,random_40,731,731,False,8.420175377978012,0.0292779809969943,0.0
4,duration_jitter,225,14,delta_40,731,731,False,8.450685289979447,0.030509912001434714,0.0
4,duration_jitter,225,15,delta_40,731,731,False,8.480398243002128,0.029712953022681177,0.0
4,duration_jitter,225,16,critical_40,731,731,False,8.509211260010488,0.028813017008360475,0.0
4,duration_jitter,225,17,delta_40,731,731,False,8.540005791001022,0.03079453099053353,0.0
4,duration_jitter,225,18,delta_40,731,731,False,8.570737531001214,0.030731740000192076,0.0
4,duration_jitter,225,19,random_40,731,731,False,8.600439139001537,0.029701608000323176,0.0
4,duration_jitter,225,20,delta_40,731,731,False,8.629738568008179,0.02929942900664173,0.0
4,duration_jitter,225,21,critical_40,731,731,False,8.661688707012217,0.03195013900403865,0.0
4,duration_jitter,225,22,delta_40,731,731,False,8.691216725012055,0.029528017999837175,0.0
4,duration_jitter,225,23,random_40,731,731,False,8.720800083014183,0.02958335800212808,0.0
4,duration_jitter,225,24,random_40,731,731,False,8.751091828016797,0.030291745002614334,0.0
4,duration_jitter,225,25,random_40,731,731,False,8.78208171800361,0.03098988998681307,0.0
